diameter,berat,tebal_kulit,kadar_gula,asal_daerah,warna,musim_panen,kualitas
7.48,186.8,0.45,12.0,Jawa Barat,kuning,kemarau,Bagus
8.28,217.0,0.56,13.7,Jawa Barat,oranye,kemarau,Bagus
6.19,184.1,0.39,12.3,Jawa Barat,oranye,kemarau,Bagus
7.91,197.7,0.49,11.8,Jawa Tengah,oranye,kemarau,Bagus
7.54,210.1,0.51,12.8,Jawa Tengah,kuning,hujan,Bagus
7.35,217.3,0.55,9.8,Jawa Tengah,kuning,hujan,Bagus
7.55,176.0,0.57,12.2,Jawa Tengah,kuning,kemarau,Bagus
6.51,193.3,0.39,12.8,Jawa Barat,oranye,hujan,Bagus
7.39,190.5,0.35,10.5,Kalimantan,kuning,kemarau,Bagus
7.68,186.9,0.63,13.1,Jawa Tengah,oranye,kemarau,Bagus
8.24,235.3,0.53,12.3,Kalimantan,kuning,hujan,Bagus
7.24,208.1,0.43,11.6,Jawa Tengah,oranye,kemarau,Bagus
7.1,174.8,0.66,12.6,Jawa Tengah,oranye,hujan,Bagus
7.25,218.4,0.51,14.3,Kalimantan,oranye,hujan,Bagus
7.96,242.4,0.62,12.2,Jawa Barat,kuning,hujan,Bagus
7.66,220.6,0.51,12.2,Jawa Tengah,kuning,hujan,Bagus
7.24,169.6,0.71,11.5,Jawa Tengah,kuning,kemarau,Bagus
7.76,190.3,0.68,11.2,Jawa Tengah,oranye,hujan,Bagus
7.55,225.3,0.48,12.8,Kalimantan,oranye,kemarau,Bagus
7.98,185.8,0.6,11.1,Jawa Barat,oranye,kemarau,Bagus
7.15,208.9,0.56,12.1,Kalimantan,oranye,kemarau,Bagus
7.34,215.5,0.64,11.5,Kalimantan,oranye,kemarau,Bagus
7.3,181.5,0.4,12.5,Jawa Barat,kuning,hujan,Bagus
6.77,198.8,0.57,12.3,Kalimantan,oranye,hujan,Bagus
7.65,135.2,0.61,13.0,Jawa Barat,oranye,kemarau,Bagus
7.63,179.5,0.32,11.5,Jawa Tengah,kuning,kemarau,Bagus
7.5,194.9,0.38,11.7,Jawa Barat,oranye,hujan,Bagus
7.38,175.0,0.3,11.0,Jawa Tengah,kuning,kemarau,Bagus
6.79,232.6,0.47,11.6,Kalimantan,kuning,hujan,Bagus
7.29,171.4,0.57,12.4,Kalimantan,oranye,kemarau,Bagus
7.33,191.2,0.65,12.8,Jawa Tengah,kuning,hujan,Bagus
7.1,202.6,0.51,11.1,Kalimantan,oranye,kemarau,Bagus
7.42,228.8,0.66,12.9,Jawa Barat,kuning,kemarau,Bagus
7.7,171.3,0.36,13.4,Jawa Tengah,kuning,hujan,Bagus
8.44,223.3,0.33,12.4,Kalimantan,kuning,kemarau,Bagus
7.59,200.2,0.49,13.9,Jawa Tengah,kuning,kemarau,Bagus
7.63,180.4,0.54,11.2,Jawa Barat,oranye,hujan,Bagus
7.46,209.2,0.5,10.8,Jawa Barat,kuning,kemarau,Bagus
6.54,204.0,0.29,10.2,Kalimantan,oranye,hujan,Bagus
7.49,188.0,0.49,13.5,Jawa Barat,oranye,hujan,Bagus
7.53,201.4,0.37,12.7,Jawa Tengah,oranye,kemarau,Bagus
8.73,192.3,0.57,11.9,Jawa Barat,oranye,kemarau,Bagus
7.4,202.3,0.54,12.3,Jawa Tengah,oranye,kemarau,Bagus
7.65,213.2,0.41,10.9,Jawa Tengah,kuning,kemarau,Bagus
7.48,231.7,0.45,14.4,Jawa Barat,kuning,kemarau,Bagus
6.92,175.2,0.39,12.1,Kalimantan,kuning,kemarau,Bagus
8.07,242.7,0.49,12.1,Jawa Barat,oranye,kemarau,Bagus
7.88,161.0,0.6,12.7,Jawa Tengah,kuning,hujan,Bagus
7.9,197.0,0.4,12.5,Jawa Tengah,oranye,kemarau,Bagus
7.05,211.8,0.55,12.2,Jawa Barat,oranye,hujan,Bagus
8.2,205.6,0.45,11.2,Kalimantan,kuning,kemarau,Bagus
6.8,187.5,0.42,12.5,Kalimantan,oranye,kemarau,Bagus
7.79,195.8,0.49,13.9,Jawa Tengah,kuning,hujan,Bagus
8.6,190.1,0.4,13.3,Jawa Tengah,kuning,kemarau,Bagus
7.0,188.2,0.44,13.6,Kalimantan,oranye,kemarau,Bagus
7.22,217.0,0.38,11.5,Jawa Barat,oranye,hujan,Bagus
7.55,207.1,0.7,11.0,Jawa Tengah,oranye,kemarau,Bagus
7.25,186.1,0.5,11.9,Jawa Tengah,oranye,kemarau,Bagus
6.72,218.0,0.43,12.1,Kalimantan,kuning,kemarau,Bagus
7.53,206.1,0.52,13.1,Jawa Barat,oranye,hujan,Bagus
6.97,216.3,0.49,10.3,Kalimantan,oranye,kemarau,Bagus
7.74,212.6,0.48,13.5,Jawa Barat,oranye,kemarau,Bagus
7.04,183.4,0.56,11.8,Jawa Barat,kuning,kemarau,Bagus
8.27,188.8,0.58,11.6,Jawa Barat,oranye,kemarau,Bagus
7.11,214.9,0.45,11.0,Jawa Tengah,kuning,hujan,Bagus
7.34,212.2,0.44,10.3,Kalimantan,kuning,hujan,Bagus
7.91,199.6,0.47,12.8,Kalimantan,oranye,kemarau,Bagus
6.88,202.3,0.27,12.1,Jawa Barat,kuning,kemarau,Bagus
7.61,225.6,0.35,10.7,Jawa Tengah,oranye,hujan,Bagus
8.15,188.2,0.64,10.7,Jawa Tengah,oranye,hujan,Bagus
6.7,210.9,0.66,11.7,Kalimantan,kuning,kemarau,Bagus
7.59,196.0,0.48,13.7,Jawa Tengah,oranye,hujan,Bagus
7.63,195.6,0.56,11.7,Jawa Tengah,oranye,kemarau,Bagus
7.89,222.0,0.53,10.5,Jawa Barat,oranye,hujan,Bagus
6.88,216.5,0.81,11.8,Jawa Tengah,oranye,hujan,Bagus
6.84,216.3,0.61,11.7,Jawa Barat,oranye,hujan,Bagus
7.76,226.1,0.49,9.3,Kalimantan,oranye,hujan,Bagus
7.65,200.4,0.4,11.9,Jawa Tengah,oranye,kemarau,Bagus
7.63,213.6,0.34,11.8,Kalimantan,kuning,hujan,Bagus
7.67,193.8,0.52,12.7,Kalimantan,oranye,hujan,Bagus
7.16,206.5,0.42,13.8,Jawa Tengah,kuning,kemarau,Bagus
7.62,197.4,0.36,13.1,Jawa Tengah,oranye,hujan,Bagus
7.65,201.9,0.44,11.7,Kalimantan,oranye,hujan,Bagus
7.14,211.9,0.39,10.9,Jawa Tengah,kuning,kemarau,Bagus
8.43,183.6,0.67,14.6,Jawa Barat,oranye,hujan,Bagus
7.74,241.8,0.59,12.1,Jawa Barat,oranye,kemarau,Bagus
6.9,179.9,0.5,12.0,Jawa Tengah,kuning,kemarau,Bagus
7.83,175.7,0.65,12.0,Kalimantan,oranye,kemarau,Bagus
7.01,223.2,0.51,12.2,Jawa Tengah,oranye,kemarau,Bagus
7.89,215.8,0.41,11.9,Jawa Tengah,kuning,hujan,Bagus
8.08,212.5,0.65,11.4,Kalimantan,oranye,kemarau,Bagus
7.09,212.6,0.55,11.5,Kalimantan,kuning,hujan,Bagus
7.98,199.8,0.4,12.0,Jawa Barat,oranye,hujan,Bagus
7.71,182.1,0.48,11.5,Kalimantan,oranye,hujan,Bagus
6.54,140.6,0.5,10.8,Kalimantan,hijau,kemarau,Sedang
7.08,141.9,0.64,10.0,Jawa Barat,hijau,hujan,Sedang
6.23,175.7,0.62,12.4,Kalimantan,kuning,hujan,Sedang
6.94,161.6,0.72,10.4,Jawa Tengah,kuning,kemarau,Sedang
6.73,142.8,0.71,10.2,Jawa Tengah,kuning,hujan,Sedang
6.79,113.2,0.74,9.1,Kalimantan,kuning,kemarau,Sedang
6.26,126.8,0.63,9.8,Jawa Barat,hijau,kemarau,Sedang
6.32,157.6,0.75,9.2,Kalimantan,kuning,hujan,Sedang
5.58,118.2,0.54,7.8,Jawa Tengah,hijau,kemarau,Sedang
6.22,154.4,0.52,11.0,Kalimantan,hijau,hujan,Sedang
7.08,134.0,0.47,9.5,Kalimantan,kuning,hujan,Sedang
6.04,151.4,0.65,9.2,Jawa Tengah,hijau,kemarau,Sedang
6.11,151.0,0.62,10.2,Kalimantan,hijau,hujan,Sedang
6.82,151.8,0.78,10.5,Kalimantan,kuning,kemarau,Sedang
6.7,144.1,0.64,9.7,Jawa Barat,hijau,hujan,Sedang
6.84,143.6,0.73,10.0,Jawa Barat,kuning,hujan,Sedang
5.92,139.2,0.78,10.7,Jawa Tengah,hijau,hujan,Sedang
7.78,157.3,0.63,9.6,Jawa Tengah,kuning,hujan,Sedang
5.89,162.1,0.73,10.3,Jawa Tengah,hijau,hujan,Sedang
6.58,131.7,0.8,8.3,Jawa Barat,hijau,kemarau,Sedang
6.42,149.2,0.58,8.8,Jawa Tengah,kuning,kemarau,Sedang
5.91,152.9,0.7,10.6,Jawa Tengah,kuning,kemarau,Sedang
6.31,152.8,0.63,8.7,Jawa Tengah,hijau,kemarau,Sedang
6.51,152.5,0.58,10.2,Jawa Barat,hijau,kemarau,Sedang
6.18,144.0,0.55,9.9,Kalimantan,kuning,kemarau,Sedang
6.97,154.2,0.58,9.6,Jawa Tengah,kuning,hujan,Sedang
6.42,159.3,0.71,9.2,Kalimantan,kuning,hujan,Sedang
5.83,152.1,0.54,10.9,Jawa Tengah,kuning,kemarau,Sedang
5.79,157.6,0.64,11.7,Kalimantan,hijau,kemarau,Sedang
6.8,164.9,0.78,10.3,Jawa Barat,hijau,hujan,Sedang
5.76,122.2,0.74,10.3,Jawa Barat,kuning,hujan,Sedang
6.66,164.2,0.65,9.3,Jawa Tengah,hijau,hujan,Sedang
6.72,155.1,0.87,8.8,Kalimantan,hijau,kemarau,Sedang
6.0,133.3,0.89,10.0,Jawa Barat,kuning,kemarau,Sedang
6.95,162.0,0.7,9.0,Jawa Tengah,kuning,kemarau,Sedang
5.64,144.0,0.45,8.2,Jawa Tengah,kuning,hujan,Sedang
6.65,146.1,0.79,10.8,Jawa Barat,kuning,hujan,Sedang
6.48,142.4,0.47,10.9,Jawa Barat,kuning,kemarau,Sedang
6.44,154.5,0.85,9.1,Jawa Tengah,hijau,kemarau,Sedang
5.91,138.2,0.81,10.2,Kalimantan,hijau,hujan,Sedang
6.03,163.5,0.88,11.0,Kalimantan,hijau,hujan,Sedang
7.31,147.9,0.73,10.2,Kalimantan,hijau,hujan,Sedang
7.11,144.5,0.66,8.8,Jawa Tengah,kuning,hujan,Sedang
6.87,161.3,0.65,9.8,Jawa Barat,hijau,kemarau,Sedang
6.97,145.2,0.65,11.3,Jawa Tengah,hijau,hujan,Sedang
6.92,164.2,0.8,10.2,Jawa Barat,hijau,hujan,Sedang
6.34,164.7,0.77,10.5,Kalimantan,hijau,hujan,Sedang
6.52,130.0,0.71,10.3,Kalimantan,hijau,kemarau,Sedang
5.76,166.6,0.63,9.1,Jawa Barat,hijau,kemarau,Sedang
6.46,128.1,0.96,9.4,Jawa Barat,hijau,hujan,Sedang
7.09,167.6,0.79,10.3,Jawa Tengah,hijau,hujan,Sedang
6.17,180.4,0.54,10.8,Kalimantan,hijau,hujan,Sedang
7.01,163.1,0.65,11.1,Jawa Tengah,kuning,kemarau,Sedang
6.55,117.6,0.79,9.1,Jawa Tengah,hijau,kemarau,Sedang
5.81,166.0,0.62,10.4,Jawa Tengah,hijau,kemarau,Sedang
5.95,183.7,0.74,11.2,Kalimantan,kuning,hujan,Sedang
6.96,145.5,0.8,9.0,Jawa Tengah,hijau,kemarau,Sedang
6.78,149.5,0.36,11.5,Jawa Tengah,kuning,hujan,Sedang
6.55,132.2,0.69,11.6,Jawa Tengah,kuning,hujan,Sedang
6.36,154.7,0.69,12.6,Jawa Tengah,hijau,hujan,Sedang
6.61,169.0,0.66,10.2,Jawa Tengah,kuning,kemarau,Sedang
6.94,160.5,0.73,10.2,Jawa Tengah,hijau,hujan,Sedang
7.24,197.1,0.77,10.8,Kalimantan,kuning,kemarau,Sedang
7.26,150.5,0.71,10.8,Jawa Tengah,hijau,kemarau,Sedang
6.69,125.5,0.66,11.1,Jawa Barat,kuning,hujan,Sedang
6.41,152.6,0.76,10.8,Jawa Tengah,hijau,hujan,Sedang
6.57,113.8,0.7,9.9,Jawa Tengah,kuning,kemarau,Sedang
6.76,142.0,0.68,11.2,Kalimantan,kuning,hujan,Sedang
6.76,174.4,0.57,8.9,Kalimantan,hijau,kemarau,Sedang
7.15,154.9,0.54,10.0,Jawa Barat,hijau,hujan,Sedang
7.56,152.7,0.57,11.6,Jawa Barat,kuning,kemarau,Sedang
6.4,177.3,0.73,8.7,Kalimantan,kuning,kemarau,Sedang
7.58,145.9,0.69,9.3,Kalimantan,hijau,kemarau,Sedang
7.09,168.9,0.55,10.7,Jawa Tengah,kuning,kemarau,Sedang
6.45,151.9,0.76,10.4,Kalimantan,kuning,hujan,Sedang
7.25,155.7,0.84,9.1,Jawa Barat,kuning,hujan,Sedang
7.34,131.7,0.64,9.6,Jawa Tengah,hijau,kemarau,Sedang
6.27,142.8,0.53,8.8,Jawa Barat,kuning,kemarau,Sedang
7.37,129.0,0.63,11.0,Jawa Tengah,hijau,hujan,Sedang
7.04,148.6,0.79,9.7,Kalimantan,kuning,hujan,Sedang
7.68,155.9,0.75,11.8,Jawa Barat,hijau,hujan,Sedang
6.29,133.3,0.61,10.1,Jawa Tengah,hijau,hujan,Sedang
6.32,180.7,0.85,9.8,Jawa Tengah,kuning,hujan,Sedang
5.49,154.2,0.83,9.7,Kalimantan,hijau,hujan,Sedang
6.79,150.9,0.63,9.8,Kalimantan,kuning,kemarau,Sedang
6.69,161.5,0.63,10.1,Kalimantan,kuning,hujan,Sedang
6.22,137.6,0.64,12.5,Jawa Barat,kuning,hujan,Sedang
6.46,152.5,0.65,9.7,Jawa Tengah,hijau,kemarau,Sedang
5.84,139.2,0.8,9.7,Kalimantan,kuning,hujan,Sedang
7.1,173.4,0.74,10.1,Jawa Barat,hijau,hujan,Sedang
6.26,134.1,0.79,11.1,Jawa Barat,hijau,hujan,Sedang
8.05,150.9,0.77,8.6,Jawa Barat,kuning,hujan,Sedang
6.41,154.9,0.87,10.5,Kalimantan,hijau,hujan,Sedang
6.12,155.9,0.59,9.2,Kalimantan,hijau,kemarau,Sedang
6.29,141.3,0.74,10.6,Jawa Tengah,kuning,hujan,Sedang
5.79,136.6,0.48,9.5,Jawa Tengah,hijau,kemarau,Sedang
6.74,141.5,0.57,7.7,Kalimantan,hijau,kemarau,Sedang
6.29,157.9,0.69,10.4,Jawa Barat,kuning,hujan,Sedang
7.07,147.8,0.74,10.4,Jawa Barat,hijau,kemarau,Sedang
6.36,161.9,0.69,9.4,Jawa Barat,kuning,hujan,Sedang
7.19,157.2,0.64,9.4,Jawa Tengah,kuning,kemarau,Sedang
6.88,115.8,0.66,8.7,Jawa Barat,kuning,kemarau,Sedang
6.51,153.7,0.84,10.8,Jawa Tengah,kuning,hujan,Sedang
7.29,183.8,0.66,10.9,Jawa Tengah,hijau,hujan,Sedang
6.98,169.9,0.87,9.1,Jawa Barat,hijau,hujan,Sedang
7.97,156.3,0.78,9.5,Jawa Barat,kuning,hujan,Sedang
6.3,134.1,0.75,9.9,Kalimantan,kuning,hujan,Sedang
6.54,157.2,0.58,12.3,Kalimantan,kuning,kemarau,Sedang
7.28,161.1,0.79,10.5,Jawa Barat,hijau,kemarau,Sedang
5.73,146.2,0.65,9.1,Jawa Tengah,hijau,kemarau,Sedang
7.16,154.8,0.58,10.3,Jawa Tengah,hijau,kemarau,Sedang
6.72,172.6,0.75,8.6,Jawa Tengah,kuning,kemarau,Sedang
6.06,137.1,0.56,10.7,Jawa Tengah,hijau,kemarau,Sedang
5.82,134.1,0.62,11.7,Jawa Tengah,kuning,kemarau,Sedang
6.16,160.4,0.7,11.7,Kalimantan,kuning,hujan,Sedang
5.36,156.9,0.92,10.7,Jawa Barat,hijau,hujan,Sedang
6.26,165.4,0.63,9.4,Kalimantan,kuning,kemarau,Sedang
6.81,158.5,0.65,8.7,Jawa Tengah,hijau,kemarau,Sedang
6.26,141.5,0.77,8.6,Jawa Tengah,kuning,hujan,Sedang
7.19,156.5,0.58,7.2,Jawa Tengah,kuning,hujan,Sedang
7.33,132.9,0.74,10.7,Jawa Tengah,kuning,hujan,Sedang
7.14,146.2,0.82,9.9,Jawa Barat,kuning,hujan,Sedang
6.62,157.5,0.67,10.9,Jawa Tengah,hijau,kemarau,Sedang
5.34,144.6,0.8,11.4,Jawa Barat,hijau,hujan,Sedang
6.15,187.0,0.73,10.1,Jawa Tengah,kuning,kemarau,Sedang
6.43,121.6,0.63,10.1,Jawa Barat,hijau,kemarau,Sedang
6.05,141.8,0.68,9.5,Kalimantan,hijau,kemarau,Sedang
6.43,135.9,0.66,9.7,Jawa Tengah,hijau,hujan,Sedang
7.31,139.5,0.69,10.7,Jawa Barat,kuning,hujan,Sedang
5.68,140.4,0.72,9.8,Kalimantan,hijau,kemarau,Sedang
7.41,130.1,0.76,9.7,Jawa Tengah,kuning,kemarau,Sedang
6.94,161.3,0.75,10.0,Jawa Tengah,kuning,kemarau,Sedang
6.63,141.8,0.46,10.9,Jawa Tengah,hijau,hujan,Sedang
6.14,152.5,0.69,9.3,Jawa Barat,hijau,kemarau,Sedang
6.06,143.5,0.55,9.9,Jawa Barat,hijau,hujan,Sedang
5.69,139.6,0.67,10.2,Kalimantan,kuning,kemarau,Sedang
7.36,175.1,0.69,11.2,Jawa Barat,hijau,kemarau,Sedang
7.27,163.8,0.8,9.8,Jawa Barat,hijau,kemarau,Sedang
5.8,122.0,0.7,9.3,Jawa Tengah,hijau,hujan,Sedang
6.22,120.4,0.73,9.5,Jawa Tengah,kuning,hujan,Sedang
6.72,165.6,0.78,11.1,Jawa Tengah,hijau,kemarau,Sedang
6.35,142.2,0.82,12.0,Jawa Tengah,kuning,hujan,Sedang
5.54,125.3,0.69,8.7,Jawa Tengah,kuning,kemarau,Sedang
6.17,165.7,0.71,8.9,Jawa Tengah,hijau,hujan,Sedang
7.48,152.5,0.7,9.8,Jawa Tengah,kuning,hujan,Sedang
6.21,153.8,0.65,10.1,Kalimantan,hijau,hujan,Sedang
6.42,162.1,0.62,10.8,Kalimantan,kuning,kemarau,Sedang
5.93,130.4,0.47,9.1,Kalimantan,kuning,hujan,Sedang
6.79,125.5,0.59,8.9,Kalimantan,kuning,hujan,Sedang
6.56,173.7,0.52,10.1,Jawa Tengah,hijau,kemarau,Sedang
6.13,128.4,0.83,9.7,Kalimantan,hijau,kemarau,Sedang
5.85,131.7,0.72,10.9,Jawa Tengah,hijau,kemarau,Sedang
7.2,134.7,0.69,10.5,Kalimantan,hijau,kemarau,Sedang
5.7,181.2,0.63,10.6,Jawa Barat,hijau,hujan,Sedang
6.75,157.4,0.7,9.9,Kalimantan,hijau,hujan,Sedang
5.42,164.5,0.62,12.4,Kalimantan,hijau,hujan,Sedang
6.85,152.9,0.72,9.2,Jawa Tengah,hijau,hujan,Sedang
6.99,141.0,0.72,10.6,Kalimantan,kuning,hujan,Sedang
7.05,159.5,0.61,8.7,Jawa Barat,hijau,kemarau,Sedang
6.42,126.7,0.61,8.9,Jawa Tengah,hijau,hujan,Sedang
7.29,133.6,0.8,9.4,Jawa Tengah,hijau,hujan,Sedang
7.65,161.0,0.69,11.6,Kalimantan,hijau,hujan,Sedang
6.34,129.6,0.62,10.3,Jawa Tengah,kuning,kemarau,Sedang
6.27,147.2,0.66,9.4,Jawa Tengah,hijau,kemarau,Sedang
6.57,147.8,0.6,10.4,Jawa Tengah,kuning,hujan,Sedang
6.26,142.1,0.69,10.0,Jawa Tengah,kuning,kemarau,Sedang
4.88,96.7,0.91,7.0,Jawa Barat,hijau,hujan,Jelek
5.2,101.6,1.05,7.0,Kalimantan,hijau,hujan,Jelek
5.49,108.3,0.91,8.3,Kalimantan,hijau,kemarau,Jelek
5.64,91.3,0.99,8.0,Kalimantan,hijau,kemarau,Jelek
5.1,93.4,1.42,8.0,Jawa Barat,hijau,kemarau,Jelek
5.71,97.0,0.95,7.2,Kalimantan,hijau,kemarau,Jelek
5.26,86.5,0.93,7.8,Kalimantan,hijau,kemarau,Jelek
5.49,91.8,0.87,7.1,Jawa Barat,hijau,hujan,Jelek
5.77,95.2,1.15,8.9,Kalimantan,hijau,hujan,Jelek
5.5,108.7,0.96,9.0,Jawa Barat,hijau,hujan,Jelek
5.28,102.6,0.87,6.2,Kalimantan,hijau,kemarau,Jelek
5.45,101.9,1.26,7.1,Jawa Tengah,hijau,kemarau,Jelek
5.46,108.5,1.28,6.5,Jawa Tengah,hijau,kemarau,Jelek
5.31,98.6,0.88,7.3,Kalimantan,hijau,kemarau,Jelek
5.37,103.9,0.63,7.9,Jawa Tengah,hijau,hujan,Jelek
6.3,99.0,1.2,6.6,Jawa Barat,hijau,hujan,Jelek
5.78,102.7,0.86,7.1,Jawa Tengah,hijau,kemarau,Jelek
5.35,94.2,1.16,7.0,Kalimantan,hijau,hujan,Jelek
5.85,75.6,0.61,8.2,Kalimantan,hijau,hujan,Jelek
5.33,98.7,1.18,8.1,Jawa Barat,hijau,kemarau,Jelek
6.09,114.2,0.76,7.3,Kalimantan,hijau,kemarau,Jelek
5.68,109.3,1.15,8.2,Jawa Barat,hijau,kemarau,Jelek
5.45,109.7,1.0,7.5,Jawa Tengah,hijau,kemarau,Jelek
5.72,112.4,0.81,7.7,Jawa Tengah,hijau,kemarau,Jelek
4.71,100.9,0.92,9.7,Jawa Barat,hijau,kemarau,Jelek
4.94,102.0,1.14,9.3,Jawa Barat,hijau,hujan,Jelek
4.9,93.8,1.02,6.7,Kalimantan,hijau,hujan,Jelek
5.57,96.8,1.12,8.8,Jawa Tengah,hijau,kemarau,Jelek
6.37,106.2,1.4,8.8,Jawa Barat,hijau,hujan,Jelek
6.62,112.0,0.69,6.9,Jawa Tengah,hijau,kemarau,Jelek
5.82,98.6,1.32,8.8,Jawa Barat,hijau,kemarau,Jelek
5.75,95.5,1.02,9.5,Jawa Tengah,hijau,kemarau,Jelek
4.6,100.0,0.82,6.9,Kalimantan,hijau,kemarau,Jelek
5.23,106.0,0.73,7.1,Jawa Tengah,hijau,hujan,Jelek
5.11,85.6,0.96,9.0,Jawa Tengah,hijau,kemarau,Jelek
5.19,77.0,1.18,8.3,Jawa Tengah,hijau,hujan,Jelek
5.42,94.5,0.97,8.6,Jawa Tengah,hijau,kemarau,Jelek
5.26,87.8,1.3,8.3,Jawa Tengah,hijau,kemarau,Jelek
